CURSO_ESCO	GRADO	CURSO	ESPECIALID	ASIGNATURA	NOTA_EXAME	NOTA_EXAME	
2013	P	1	Gi	Cj	6		
2013	P	1	Gi	Cj	6		
2013	P	1	Gi	Cj	6		
2013	P	1	Gi	Gi	8		
2013	P	1	Gi	Gi	6		
2013	P	1	Gi	Gi	7		
2013	P	1	Gi	Gi	7		
2013	P	1	Pe	Lm	CV		
2013	P	1	Pe	Lm	CV		
2013	P	1	Pe	Pe	6		
2013	P	1	Pe	Pe	7		
2013	P	1	Pi	Cj	7		
2013	P	1	Pi	Cj	6		
2013	P	1	Pi	Pi	5		
2013	P	1	Pi	Pi	6		
2013	P	1	Tr	Tr	6		
2013	P	1	Tr	Tr	9		
2013	P	1	Tu	Tu	7		
2013	P	1	Va	Va	10		
2013	P	1	Va	Va	9		
2013	P	1	Va	Va	7		
2013	P	1	Va	Va	8		
2013	P	1	Va	Va	6		
2013	P	1	Vi	Vi	9		
2013	P	1	Vi	Vi	6		
2013	P	1	Vi	Vi	9		
2013	P	1	Vi	Vi	7		
2013	P	1	Vc	Vc	5		
2013	P	1	Vc	Vc	7		
2013	P	1	Vc	Vc	8		
2013	P	2	Ca	Ca	9		
2013	P	2	Ca	Ca	9		
2013	P	2	Ca	Lm	7		
2013	P	2	Cl	Cl	5		
2013	P	2	Cl	Cl	9		
2013	P	2	Cb	Cb	7		
2013	P	2	Gi	Cj	6		
2013	P	2	Gi	Cj	4		
2013	P	2	Gi	Cj	6		
2013	P	2	Gi	Gi	5		
2013	P	2	Gi	Gi	4		
2013	P	2	Gi	Gi	6		
2013	P	2	Ob	Ob	7		
2013	P	2	Ob	Ob	7		
2013	P	2	Ob	Ob	8		
2013	P	2	Ob	Ob	8		
2013	P	2	Pe	Lm	5		
2013	P	2	Pe	Pe	4		
2013	P	2	Pe	Pe	7		
2013	P	2	Pi	Cj	9		
2013	P	2	Pi	Cj	8		
2013	P	2	Pi	Cj	6		
2013	P	2	Pi	Cj	6		
2013	P	2	Pi	Cj	7		
2013	P	2	Pi	Cj	5		
2013	P	2	Pi	Cj	9		
2013	P	2	Pi	Cj	8		
2013	P	2	Pi	Cj	7		
2013	P	2	Pi	Cj	8		
2013	P	2	Pi	Co	5		
2013	P	2	Pi	Lm	7		
2013	P	2	Pi	Lm	7		
2013	P	2	Pi	Pi	9		
2013	P	2	Pi	Pi	6		
2013	P	2	Pi	Pi	3		
2013	P	2	Pi	Pi	8		
2013	P	2	Pi	Pi	8		
2013	P	2	Pi	Pi	8		
2013	P	2	Pi	Pi	3		
2013	P	2	Pi	Pi	8		
2013	P	2	Pi	Pi	7		
2013	P	2	Pi	Pi	6		
2013	P	2	Sx	Sx	8		
2013	P	2	Tp	Tp	6		
2013	P	2	Tr	Tr	5		
2013	P	2	Tr	Tr	9		
2013	P	2	Va	Va	8		
2013	P	2	Vi	Vi	8		
2013	P	2	Vi	Vi	6		
2013	P	2	Vi	Vi	7		
2013	P	2	Vi	Vi	6		
2013	P	2	Vi	Vi	7		
2013	P	2	Vc	Vc	5		
2013	P	2	Vc	Vc	8		
2013	P	2	Vc	Vc	9		
2013	P	3	Ca	Ca	NP		
2013	P	3	Ca	Pc	NP		
2013	P	3	Cl	Cl	5		
2013	P	3	Cl	Pc	7		
2013	P	3	Fg	Fg	8		
2013	P	3	Fg	Pc	8		
2013	P	3	Ft	Ft	5		
2013	P	3	Ft	Ft	9		
2013	P	3	Ft	Ft	7		
2013	P	3	Ft	Pc	10		
2013	P	3	Ft	Pc	4		
2013	P	3	Ft	Pc	7		
2013	P	3	Gi	Gi	7		
2013	P	3	Gi	Pc	8		
2013	P	3	Pi	Cj	6		
2013	P	3	Pi	Cj	7		
2013	P	3	Pi	Cj	8		
2013	P	3	Pi	Cj	8		
2013	P	3	Pi	Cj	7		
2013	P	3	Pi	Cj	9		
2013	P	3	Pi	Cj	5		
2013	P	3	Pi	Cj	10		
2013	P	3	Pi	Pi	10		
2013	P	3	Pi	Pi	7		
2013	P	3	Pi	Pi	8		
2013	P	3	Pi	Pi	7		
2013	P	3	Pi	Pi	8		
2013	P	3	Pi	Pi	6		
2013	P	3	Pi	Pi	3		
2013	P	3	Pi	Pi	6		
2013	P	3	Pi	Pi	9		
2013	P	3	Pi	Pi	10		
2013	P	3	Tr	Hm	CV		
2013	P	3	Tr	Pc	7		
2013	P	3	Tr	Tr	6		
2013	P	3	Tu	Pc	6		
2013	P	3	Tu	Tu	10		
2013	P	3	Vi	Pc			
2013	P	3	Vi	Pc	6		
2013	P	3	Vi	Pc	7		
2013	P	3	Vi	Vi			
2013	P	3	Vi	Vi	8		
2013	P	3	Vi	Vi	3		
2013	P	4	Ca	Pc	NP		
2013	P	4	Cl	Cl	ANU	ANU	
2013	P	4	Cl	Cl	7		
2013	P	4	Cl	Pc	5		
2013	P	4	Cl	Pc	ANU	ANU	
2013	P	4	Ft	Ft	5		
2013	P	4	Ft	Pc	5		
2013	P	4	Gi	Gi	9		
2013	P	4	Gi	Pc	5		
2013	P	4	Pi	Pi	8		
2013	P	4	Sx	Pc	7		
2013	P	4	Sx	Pc	6		
2013	P	4	Sx	Sx	7		
2013	P	4	Sx	Sx	9		
2013	P	4	Tr	Pc	6		
2013	P	4	Tr	Tr	9		
2013	P	4	Va	Pc	6		
2013	P	4	Va	Pc	ANU	ANU	
2013	P	4	Va	Va	8		
2013	P	4	Va	Va	ANU	ANU	
2013	P	4	Vi	Pc	5		
2013	P	4	Vi	Pc	7		
2013	P	4	Vi	Pc	6		
2013	P	4	Vi	Vi	6		
2013	P	4	Vi	Vi	8		
2013	P	4	Vi	Vi	8		
2013	P	4	Vc	Pc	9		
2013	P	4	Vc	Pc	8		
2013	P	4	Vc	Vc	8		
2013	P	4	Vc	Vc	9		
2013	P	5	Ca	Ca	5		
2013	P	5	Ca	Pc	PE		
2013	P	5	Cl	Cl	9		
2013	P	5	Cl	Cl	6		
2013	P	5	Cl	Cl	6		
2013	P	5	Cl	Pc	6		
2013	P	5	Cl	Pc	8		
2013	P	5	Cl	Pc	7		
2013	P	5	Pe	Pc	8		
2013	P	5	Pe	Pc	5		
2013	P	5	Pe	Pe	4		
2013	P	5	Pe	Pe	9		
2013	P	5	Pi	Acp	9		
2013	P	5	Pi	Acp	6		
2013	P	5	Pi	Acp	5		
2013	P	5	Pi	Acp	7		
2013	P	5	Pi	Pi	5		
2013	P	5	Pi	Pi	5		
2013	P	5	Pi	Pi	6		
2013	P	5	Pi	Pi	4		
2013	P	5	Tr	Pc	8		
2013	P	5	Tr	Tr	9		
2013	P	5	Tu	Pc	8		
2013	P	5	Tu	Tu	7		
2013	P	5	Vi	An	7		
2013	P	5	Vi	Ea1	9		
2013	P	5	Vi	Hm	8		
2013	P	5	Vi	Ipe	9		
2013	P	5	Vi	Pc	6		
2013	P	5	Vi	Pc	9		
2013	P	5	Vi	Pc	6		
2013	P	5	Vi	Vi	6		
2013	P	5	Vi	Vi	9		
2013	P	5	Vi	Vi	7		
2013	P	6	Ca	An	6		
2013	P	6	Ca	An	CV		
2013	P	6	Ca	Ca	9		
2013	P	6	Ca	Ca	9		
2013	P	6	Ca	Ca	NP		
2013	P	6	Ca	Ca	NP		
2013	P	6	Ca	Co2	9		
2013	P	6	Ca	Ep	8		
2013	P	6	Ca	Hm	8		
2013	P	6	Ca	Hm	CV		
2013	P	6	Ca	Pc	CV		
2013	P	6	Ca	Pc	CV		
2013	P	6	Ca	Pc	CV		
2013	P	6	Ca	Pc	7		
2013	P	6	Cl	Cl	9		
2013	P	6	Cl	Cl	7		
2013	P	6	Cl	Pc	8		
2013	P	6	Cb	Cb	7		
2013	P	6	Cb	Pc	8		
2013	P	6	Ft	Ft	9		
2013	P	6	Ft	Ft	10		
2013	P	6	Ft	Ft	9		
2013	P	6	Ft	Ft	8		
2013	P	6	Ft	Pc	9		
2013	P	6	Ft	Pc	8		
2013	P	6	Ft	Pc	10		
2013	P	6	Ft	Pc	9		
2013	P	6	Ob	Ob	9		
2013	P	6	Ob	Pc	9		
2013	P	6	Pi	Acp	5		
2013	P	6	Pi	Acp	10		
2013	P	6	Pi	Pi	4		
2013	P	6	Pi	Pi	10		
2013	P	6	Pi	Pi	6		
2013	P	6	Sx	Pc	NP		
2013	P	6	Sx	Sx	5		
2013	P	6	Va	Pc	NP		
2013	P	6	Va	Pc	5		
2013	P	6	Va	Pc	6		
2013	P	6	Va	Va	8		
2013	P	6	Va	Va	NP		
2013	P	6	Va	Va	4		
2013	P	6	Vi	Pc	9		
2013	P	6	Vi	Vi	10		
2013	P	4	Tb	Pc	6		
2013	P	4	Tb	Pc	8		
2013	P	4	Tb	Pc			
2013	P	4	Tb	Tb	5		
2013	P	4	Tb	Tb	8		
2013	P	4	Tb	Tb			
2013	P	1	Tb	Tb	7		
2013	P	3	Tb	Pc	8		
2013	P	3	Tb	Pc			
2013	P	3	Tb	Tb	NP		
2013	E	4	Va	Co	7		
2013	E	4	Cl	Co	8		
2013	E	4	Vi	Co	5		
2013	E	4	Va	Co	7		
2013	E	4	Ft	Co	5		
2013	E	4	Ft	Co	6		
2013	E	4	Pe	Co	6		
2013	E	4	Vi	Co	4		
2013	E	4	Gi	Co	5		
2013	E	4	Vi	Co	6		
2013	E	4	Vc	Co	6		
2013	E	4	Tp	Co	6		
2013	E	4	Va	Co	7		
2013	E	4	Va	Co	6		
2013	E	4	Pi	Co	7		
2013	E	4	Vc	Co	7		
2013	E	4	Gi	Co	8		
2013	E	4	Sx	Co	8		
2013	E	4	Pi	Co	8		
2013	E	4	Pi	Co	7		
2013	E	4	Ft	Co	8		
2013	E	4	Tr	Co	5		
2013	E	4	Va	Co	1		
2013	E	4	Tb	Co	7		
2013	E	4	Tp	Co	6		
2013	E	4	Cb	Co	5		
2013	E	4	Vc	Co	5		
2013	E	4	Va	Co	9		
2013	E	4	Tu	Co	4		
2013	E	4	Sx	Co	4		
2013	E	4	Tu	Co	4		
2013	E	4	Vi	Co	4		
2013	E	4	Pe	Co	6		
2013	E	4	Fg	Co	7		
2013	E	4	Cb	Co	4		
2013	E	4	Vc	Co	9		
2013	E	4	Pi	Co	8		
2013	E	4	Fg	Co	7		
2013	E	4	Tr	Co	4		
2013	E	4	Pi	Co	9		
2013	E	4	Vc	Co	4		
2013	E	4	Sx	Lm	4		
2013	E	4	Tb	Lm	NP		
2013	E	4	Va	Lm	7		
2013	E	4	Tp	Lm	NP		
2013	E	4	Va	Lm	7		
2013	E	4	Va	Lm	5		
2013	E	4	Pe	Lm	4		
2013	E	4	Vi	Lm	8		
2013	E	4	Gi	Lm	4		
2013	E	4	Vi	Lm	6		
2013	E	4	Vc	Lm	7		
2013	E	4	Tp	Lm	6		
2013	E	4	Va	Lm	6		
2013	E	4	Va	Lm	6		
2013	E	4	Vi	Lm	5		
2013	E	4	Vc	Lm	8		
2013	E	4	Gi	Lm	8		
2013	E	4	Pi	Lm	6		
2013	E	4	Va	Lm	1		
2013	E	4	Tp	Lm	PE		
2013	E	4	Cb	Lm	4		
2013	E	4	Vc	Lm	4		
2013	E	4	Va	Lm	5		
2013	E	4	Vi	Lm	6		
2013	E	4	Cb	Lm	4		
2013	E	4	Vc	Lm	9		
